title,number,photo,Салоны,Бренд,Коллекция,color code,🔒 Row ID,Narrative,example 1,example 2,example 3,Global counter
Coy,148,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/LpRh0iSsSnJxROJJtvYg/pub/mu0cCwSSSXGoKFrdcRB3.png,"city nails, wanna nails",,,,wSeeursXRyetYoZzZ89JVw,,,,,
Expression,30,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/LpRh0iSsSnJxROJJtvYg/pub/KymAE8wv7h8DHwQg4FGS.png,city nails,,,,PhhGXin6SAywFWcOEIjrvw,,,,,
PRECOCIOUS,172,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/LpRh0iSsSnJxROJJtvYg/pub/SQ1x25OITMkEGGSZmiXh.png,"city nails,",LUXIO,TROPICO,ee8d87,oHZX7K3mQ-q-tijzKfVf.g,,https://i.ibb.co/k4NSb1K/1000-luxio-c219a52c0cc00829ab19caa4eeaf2480.png,https://cdn.shopify.com/s/files/1/1186/7574/products/akzentz-luxio-precocious-815367_1024x1024.jpg,,4
,,,,,,,,,,,,
EXPRESSION,30,https://i.ibb.co/C2jpnDW/LUXIO-30-EXPRESSION-1.png,Nail O`Clock,LUXIO,COLOURS,8a142b,A.ACSIagQn6n-oajWqDUFg,,,,,1
CREMELLE,31,https://i.ibb.co/cTVtb7b/LUXIO-31-CREMELLE-2.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,cfaa97,XdIoCw0iSHSKUdBvMDMd2A,,,,,19
SOPHISTO ,32,https://i.ibb.co/6Jx1HM0/LUXIO-32-SOPHISTO-3.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,a1776b,sNjvYZr8ReqahZpYdXHEyA,,,,,
PURE ,33,https://i.ibb.co/1sTkQgH/LUXIO-33-PURE-4.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,eceef0,EdNfm1XVSuyzixSR5In7fw,,,,,
BLUSH ,34,https://i.ibb.co/s3VmnRg/LUXIO-34-BLUSH-5.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,c7aaa4,QkpzXQ-SRDSZSL3AGDz2wA,,,,,
NEUTRAL ,35,https://i.ibb.co/vjKj9py/LUXIO-35-NEUTRAL-6.png,Nail O`Clock,LUXIO,COLOURS,b0776e,hvJaMPEnT8uxZeFMKMI41w,,,,,
DISCRETION ,36,https://i.ibb.co/Jvjr8Qf/LUXIO-36-DISCRETION-7.png,Nail O`Clock,LUXIO,COLOURS,c27a6b,btNpfzEzRPS0gNOu949.2g,,,,,
ROMANCE ,37,https://i.ibb.co/tKZWnZY/LUXIO-37-ROMANCE-8.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,de94a1,Ho9aJOkrS.u42GEKE-B.vA,,,,,
FLAWLESS ,38,https://i.ibb.co/h2Csh6L/LUXIO-38-FLAWLESS-9.png,Nail O`Clock,LUXIO,COLOURS,b97375,u3uI3mB8RKyt-7e0vKB2UQ,,,,,
ETERNITY ,39,https://i.ibb.co/J5H9Tpj/LUXIO-39-ETERNITY-10.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,bf8c9f,9zyMoKPtS6eDx6ckZVLrMw,,,,,
POUT ,40,https://i.ibb.co/pPmzSG5/LUXIO-40-POUT-11.png,Nail O`Clock,LUXIO,COLOURS,cd5767,s7ty5CSbQoC91Zqlzzpyvg,,,,,
SWAN ,41,https://i.ibb.co/zSBBXMT/LUXIO-41-SWAN-12.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,bc2030,dRq3aqZES0G0x8VT-eVrtw,,,,,1
TEASE ,42,https://i.ibb.co/hX5m4SV/LUXIO-42-TEASE-13.png,Nail O`Clock,LUXIO,COLOURS,a4201c,QaOTJJs5Q06JxU1T8NTPBQ,,,,,
RUMOUR ,43,https://i.ibb.co/88T39RP/LUXIO-43-RUMOUR-14.png,Nail O`Clock,LUXIO,COLOURS,5e0d13,1xscx-FcTTeI9P9x9WxLWA,,,,,
LEGEND ,44,https://i.ibb.co/CzQkVTL/LUXIO-44-LEGEND-15.png,Nail O`Clock,LUXIO,COLOURS,8f0e22,teqZFiTWTsm76LZf9W7bUQ,,,,,
VINTAGE ,45,https://i.ibb.co/V3jhZJv/LUXIO-45-VINTAGE-16.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,b10f24,MQqEh2BEQquIRAq2KO4WRQ,,,,,14
ALLURE ,46,https://i.ibb.co/5601Kxf/LUXIO-46-ALLURE-17.png,Nail O`Clock,LUXIO,COLOURS,4e0000,XdP1HelhT3qTCAbx.Sb-9w,,,,,
GYPSY ,47,https://i.ibb.co/Wzn7P6F/LUXIO-47-GYPSY-18.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,5b0528,MTbILHJbTaqnDk7fKA.Z7Q,,,,,1
GLAM ,48,https://i.ibb.co/jWx9mfr/LUXIO-48-GLAM-19.png,Nail O`Clock,LUXIO,COLOURS,523671,qHHNC9gsROi..h0zGJn1ug,,,,,
